rank,word,total
1641,connect,24341
1642,works,26252
1643,teaching,26703
1644,belong,23577
1645,aid,24511
1646,advice,24189
1647,okay,28228
1648,organize,24201
1649,photograph,52407
1650,empty,25187
1651,regional,24915
1652,trail,24988
1653,novel,24449
1654,code,24076
1655,somehow,24131
1656,jury,25056
1657,iraqi,26431
1658,breast,24331
1659,human,24398
1660,acknowledge,23806
1661,theme,24375
1662,storm,24770
1663,record,23842
1664,union,47640
1665,desk,25304
1666,fear,23276
1667,thanks,32284
1668,fruit,24055
1669,under,23428
1670,expensive,23537
1671,yellow,24139
1672,conclusion,24805
1673,prime,24178
1674,shadow,24520
1675,struggle,23554
1676,conclude,23778
1677,dance,23374
1678,analyst,25247
1679,limit,23356
1680,like,24078
1681,regulation,24373
1682,being,23301
1683,last,22942
1684,ring,23711
1685,largely,23936
1686,shift,23211
1687,revenue,24225
1688,locate,23430
1689,mark,22858
1690,county,62336
1691,appearance,22773
1692,package,23766
1693,difficulty,23977
1694,bridge,23805
1695,recommend,23563
1696,obvious,22593
1697,train,23498
